puzzle_id,seconds_spent_solving,author,editor,format_type,print_date,publish_type,title,version,percent_filled,solved,star,day
19797,1012.0,Fred Piscop,,Normal,2022-01-01,Bonus,White Sales Month,0,100,True,,Saturday
19844,1902.0,Fred Piscop,,Normal,2022-02-01,Bonus,World Day of Social Justice,0,100,True,,Tuesday
19859,1304.0,Fred Piscop,,Normal,2022-03-01,Bonus,World Storytelling Day,0,100,True,,Tuesday
19939,1848.0,Fred Piscop,,Normal,2022-04-01,Bonus,File Your Taxes!,0,100,True,,Friday
20038,1193.0,Fred Piscop,,Normal,2022-05-01,Bonus,Seven Days in May,0,100,True,,Sunday
20187,1053.0,Fred Piscop,,Normal,2022-06-01,Bonus,National Flip-Flop Day,0,100,True,,Wednesday
20297,1357.0,Fred Piscop,,Normal,2022-07-01,Bonus,International Joke Day,0,100,True,,Friday
20296,1104.0,Fred Piscop,,Normal,2022-08-01,Bonus,National Golf Month,0,100,True,,Monday
20531,1502.0,Fred Piscop,,Normal,2022-09-01,Bonus,Ask a Silly Question Day,0,100,True,,Thursday
20596,840.0,Fred Piscop,,Normal,2022-10-01,Bonus,National Newspaper Carrier Day,0,100,True,,Saturday
20680,1081.0,Fred Piscop,,Normal,2022-11-01,Bonus,Carving the Turkey,0,100,True,,Tuesday
20783,1114.0,Fred Piscop,,Normal,2022-12-01,Bonus,The Twelve Days of Christmas,0,100,True,,Thursday
20843,1195.0,Fred Piscop,,Normal,2023-01-01,Bonus,National Science Fiction Day,0,100,True,,Sunday
20844,830.0,Fred Piscop,,Normal,2023-02-01,Bonus,Safer Internet Day,0,100,True,,Wednesday
20983,1943.0,Fred Piscop,,Normal,2023-03-01,Bonus,Luck of the Irish,0,100,True,,Wednesday
21053,1435.0,Fred Piscop,,Normal,2023-04-01,Bonus,Month of the Military Child,0,100,True,,Saturday
21127,1336.0,Fred Piscop,,Normal,2023-05-01,Bonus,National Moving Month,0,100,True,,Monday
21202,2074.0,Fred Piscop,,Normal,2023-06-01,Bonus,Wear a Dress Day,0,100,True,,Thursday
21203,2338.0,Fred Piscop,,Normal,2023-07-01,Bonus,Second Half of the Year Day,0,100,True,,Saturday
21332,983.0,Fred Piscop,,Normal,2023-08-01,Bonus,India Pale Ale Day,0,100,True,,Tuesday
21331,1930.0,Fred Piscop,,Normal,2023-09-01,Bonus,World Pet Rock Day,0,100,True,,Friday
21452,1272.0,Fred Piscop,,Normal,2023-10-01,Bonus,National Homemade Cookie Day,0,100,True,,Sunday
21453,1342.0,Fred Piscop,,Normal,2023-11-01,Bonus,National Hug a Bear Day,0,100,True,,Wednesday
21540,434.0,Fred Piscop,,Normal,2023-12-01,Bonus,Make a Gift Day,0,100,True,,Friday
21628,996.0,Sam Ezersky,Joel Fagliano,Normal,2024-01-01,Bonus,2023 in Review,0,100,True,,Monday
21704,1132.0,Joel Fagliano,,Normal,2024-02-01,Bonus,All About Rom-Coms,0,100,True,,Thursday
21811,1190.0,Tracy Bennett,Joel Fagliano,Normal,2024-03-01,Bonus,"""Listen Up!""",0,100,True,,Friday
21886,690.0,Aimee Lucido,Tracy Bennett,Normal,2024-04-01,Bonus,"We're All ""Friends"" Here",0,100,True,,Monday
21959,720.0,Paolo Pasco,Sam Ezersky,Normal,2024-05-01,Bonus,Playing the Hits,0,100,True,,Wednesday
22026,1029.0,Portia Lundie,Joel Fagliano,Normal,2024-06-01,Bonus,Rainbow Connection,0,100,True,,Saturday
22111,1373.0,Margaret Seikel,Joel Fagliano,Normal,2024-07-01,Bonus,Let the 43-Across Begin!,0,100,True,,Monday
22112,1104.0,Aimee Lucido,Christina Iverson,Normal,2024-08-01,Bonus,The Dog Days of Summer,0,100,True,,Thursday
22207,587.0,Henry Alford,Tracy Bennett,Normal,2024-09-01,Bonus,BeyHive Buzz,0,100,True,,Sunday
22273,695.0,Wyna Liu,Sam Ezersky,Normal,2024-10-01,Bonus,Netflix and Chills,0,100,True,,Tuesday
22344,837.0,Tracy Bennett,Christina Iverson,Normal,2024-11-01,Bonus,Give My Regards To Broadway!,0,100,True,,Friday
